"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","WAR","playerid"
"1947","Ralph Kiner","Pirates","152","565","666","177","99","23","4","51","118","127","98","81","1","",".313",".417",".639","1.055","8.2","1006923"
"1954","Willie Mays","Giants","151","565","640","195","108","33","13","41","119","110","66","57","8","5",".345",".411",".667","1.078","10.3","1008315"
"1954","Duke Snider","Dodgers","149","584","679","199","110","39","10","40","120","130","84","96","6","6",".341",".423",".647","1.071","8.3","1012230"
"1946","Stan Musial","Cardinals","156","624","702","228","142","50","20","16","124","103","73","31","7","",".365",".434",".587","1.021","8.8","1009405"
"1946","Johnny Mize","Giants","101","377","445","127","84","18","3","22","70","70","62","26","3","",".337",".437",".576","1.013","6.0","1009014"
"1993","Barry Bonds","Giants","159","539","674","181","93","38","4","46","129","123","126","79","29","12",".336",".458",".677","1.136","10.5","1109"
"1937","Joe Medwick","Cardinals","156","633","677","237","140","56","10","31","111","154","41","50","4","",".374",".414",".641","1.056","8.3","1008719"
"1981","Mike Schmidt","Phillies","102","354","434","112","60","19","2","31","78","91","73","71","12","4",".316",".435",".644","1.080","7.8","1011586"
"1969","Willie McCovey","Giants","149","491","623","157","84","26","2","45","101","126","121","66","0","0",".320",".453",".656","1.108","7.9","1008423"
"1971","Hank Aaron","Braves","139","495","573","162","90","22","3","47","95","118","71","58","1","1",".327",".410",".669","1.079","7.1","1000001"
"2001","Sammy Sosa","Cubs","160","577","711","189","86","34","5","64","146","160","116","153","0","2",".328",".437",".737","1.174","9.9","302"
"1936","Mel Ott","Giants","150","534","660","175","108","28","6","33","120","135","111","41","6","",".328",".448",".588","1.036","7.9","1009904"
"1945","Tommy Holmes","Braves","154","636","713","224","143","47","6","28","125","117","70","9","15","",".352",".420",".577",".997","8.7","1005980"
"1933","Chuck Klein","Phillies","152","606","667","223","144","44","7","28","101","120","56","36","15","",".368",".422",".602","1.025","7.5","1006991"
"1937","Dolph Camilli","Phillies","131","475","570","161","104","23","7","27","101","80","90","82","6","",".339",".446",".587","1.034","6.1","1001860"
"1939","Mel Ott","Giants","125","396","508","122","70","23","2","27","85","80","100","50","2","",".308",".449",".581","1.030","5.6","1009904"
"1954","Ted Kluszewski","Redlegs","149","573","659","187","107","28","3","49","104","141","78","35","0","2",".326",".407",".642","1.049","7.4","1007020"
"2015","Bryce Harper","Nationals","153","521","654","172","91","38","1","42","118","99","124","131","6","4",".330",".460",".649","1.109","9.3","11579"
"1943","Stan Musial","Cardinals","157","617","701","220","139","48","20","13","108","81","72","18","9","",".357",".425",".562",".988","9.9","1009405"
"2003","Albert Pujols","Cardinals","157","591","685","212","117","51","1","43","137","124","79","65","5","1",".359",".439",".667","1.106","9.5","1177"
"2001","Larry Walker","Rockies","142","497","601","174","98","35","3","38","107","123","82","103","14","5",".350",".449",".662","1.111","7.6","455"
"1953","Stan Musial","Cardinals","157","593","698","200","108","53","9","30","127","113","105","32","3","4",".337",".437",".609","1.046","7.5","1009405"
"1950","Stan Musial","Cardinals","146","555","645","192","116","41","7","28","105","109","87","36","5","",".346",".437",".596","1.034","6.6","1009405"
"1938","Johnny Mize","Cardinals","149","531","609","179","102","34","16","27","85","102","74","47","0","",".337",".422",".614","1.036","6.6","1009014"
"1953","Duke Snider","Dodgers","153","590","680","198","114","38","4","42","132","126","82","90","16","7",".336",".419",".627","1.046","8.8","1012230"
"1938","Mel Ott","Giants","150","527","652","164","99","23","6","36","116","116","118","47","2","",".311",".442",".583","1.024","8.7","1009904"
"2008","Albert Pujols","Cardinals","148","524","641","187","106","44","0","37","100","116","104","54","7","3",".357",".462",".653","1.114","8.7","1177"
"1992","Barry Bonds","Pirates","140","473","612","147","72","36","5","34","109","103","127","69","39","8",".311",".456",".624","1.080","9.6","1109"
"1998","Larry Walker","Rockies","130","454","524","165","93","46","3","23","113","67","64","61","14","4",".363",".445",".630","1.075","5.0","455"
"1954","Stan Musial","Cardinals","153","591","705","195","110","41","9","35","120","126","103","39","1","7",".330",".428",".607","1.036","7.3","1009405"
"2001","Todd Helton","Rockies","159","587","697","197","92","54","2","49","132","146","98","104","7","5",".336",".432",".685","1.116","7.1","432"
"1932","Chuck Klein","Phillies","154","650","711","226","123","50","15","38","152","137","60","49","20","",".348",".404",".646","1.050","6.9","1006991"
"1944","Stan Musial","Cardinals","146","568","667","197","120","51","14","12","112","94","90","28","7","",".347",".440",".549",".990","9.3","1009405"
"1937","Johnny Mize","Cardinals","145","560","621","204","132","40","7","25","103","113","56","57","2","",".364",".427",".595","1.021","6.4","1009014"
"1996","Gary Sheffield","Marlins","161","519","677","163","87","33","1","42","118","120","142","66","16","9",".314",".465",".624","1.090","6.5","114"
"2000","Barry Bonds","Giants","143","480","607","147","66","28","4","49","129","106","117","77","11","3",".306",".440",".688","1.127","7.6","1109"
"1936","Dolph Camilli","Phillies","151","530","651","167","97","29","13","28","106","102","116","84","5","",".315",".441",".577","1.018","5.6","1001860"
"1940","Johnny Mize","Cardinals","155","579","666","182","95","31","13","43","111","137","82","49","7","",".314",".404",".636","1.039","7.2","1009014"
"1970","Rico Carty","Braves","136","478","560","175","124","23","3","25","84","101","77","46","1","2",".366",".454",".584","1.037","6.7","1002025"
"2004","Todd Helton","Rockies","154","547","683","190","107","49","2","32","115","96","127","72","3","0",".347",".469",".620","1.088","7.0","432"
"1976","Joe Morgan","Reds","141","472","599","151","89","30","5","27","113","111","114","41","60","9",".320",".444",".576","1.020","9.5","1009179"
"2001","Luis Gonzalez","Diamondbacks","162","609","728","198","98","36","7","57","128","142","100","83","1","1",".325",".429",".688","1.117","8.9","55"
"1999","Mark McGwire","Cardinals","153","521","661","145","58","21","1","65","118","147","133","141","0","0",".278",".424",".697","1.120","6.0","1008559"
"2003","Todd Helton","Rockies","160","583","703","209","122","49","5","33","135","117","111","72","0","4",".358",".458",".630","1.088","6.6","432"
"1997","Mike Piazza","Dodgers","152","556","633","201","128","32","1","40","104","124","69","77","5","1",".362",".431",".638","1.070","9.1","893"
"1954","Eddie Mathews","Braves","138","476","601","138","73","21","4","40","96","103","113","61","10","3",".290",".423",".603","1.026","7.9","1008236"
