"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","WAR","playerid"
"1997","Edgar Martinez","Mariners","155","542","678","179","115","35","1","28","104","108","119","86","2","4",".330",".456",".554","1.009","6.1","1086"
"2006","Manny Ramirez","Red Sox","130","449","558","144","81","27","1","35","79","102","100","102","0","1",".321",".439",".619","1.058","2.9","210"
"1939","Charlie Keller","Yankees","111","398","490","133","95","21","6","11","87","83","81","49","6","3",".334",".447",".500",".947","4.9","1006768"
"1938","Jeff Heath","Indians","126","502","538","172","102","31","18","21","104","112","33","55","3","1",".343",".383",".602",".985","4.5","1005560"
"2005","Alex Rodriguez","Yankees","162","605","715","194","116","29","1","48","124","130","91","139","21","6",".321",".421",".610","1.031","9.1","1274"
"1931","Goose Goslin","Browns","151","591","675","194","118","42","10","24","114","105","80","41","9","6",".328",".412",".555",".967","5.4","1004893"
"1936","John Stone","Senators","123","437","500","149","101","22","11","15","95","90","60","26","8","0",".341",".421",".545",".965","4.5","1012568"
"1942","Charlie Keller","Yankees","152","544","661","159","100","24","9","26","106","108","114","61","14","2",".292",".417",".513",".930","7.3","1006768"
"1996","Brady Anderson","Orioles","149","579","687","172","80","37","5","50","117","110","76","106","21","8",".297",".396",".637","1.034","6.9","364"
"1946","Charlie Keller","Yankees","150","538","655","148","79","29","10","30","98","101","113","101","1","4",".275",".405",".533",".938","6.6","1006768"
"1993","Frank Thomas","White Sox","153","549","676","174","97","36","0","41","106","128","112","54","4","2",".317",".426",".607","1.033","6.3","255"
"1999","Nomar Garciaparra","Red Sox","135","532","595","190","117","42","4","27","103","104","51","39","14","3",".357",".418",".603","1.022","6.3","190"
"1943","Charlie Keller","Yankees","141","512","620","139","82","15","11","31","97","86","106","60","7","5",".271",".396",".525",".922","7.1","1006768"
"1964","Boog Powell","Orioles","134","424","506","123","67","17","0","39","74","99","76","91","0","0",".290",".399",".606","1.005","6.0","1010482"
"1999","Edgar Martinez","Mariners","142","502","608","169","109","35","1","24","86","86","97","99","7","2",".337",".447",".554","1.001","5.3","1086"
"1964","Mickey Mantle","Yankees","143","465","567","141","79","25","2","35","92","111","99","102","6","3",".303",".423",".591","1.015","5.5","1008082"
"1987","Paul Molitor","Brewers","118","465","542","164","102","41","5","16","114","75","69","67","45","10",".353",".438",".566","1.003","6.0","1009040"
"1969","Rico Petrocelli","Red Sox","154","535","643","159","85","32","2","40","92","97","98","68","3","5",".297",".403",".589",".992","9.6","1010245"
"1993","Chris Hoiles","Orioles","126","419","503","130","73","28","0","29","80","82","69","94","1","1",".310",".416",".585","1.001","7.0","1005935"
"1949","Tommy Henrich","Yankees","115","411","502","118","71","20","3","24","90","85","86","34","2","2",".287",".416",".526",".942","4.5","1005664"
"1950","Joe DiMaggio","Yankees","139","525","606","158","83","33","10","32","114","122","80","33","0","0",".301",".394",".585",".979","5.6","1003311"
"1995","Jim Thome","Indians","137","452","557","142","85","29","3","25","92","73","97","113","4","3",".314",".438",".558",".996","6.0","409"
"1961","Harmon Killebrew","Twins","150","541","656","156","83","20","7","46","94","122","107","109","1","2",".288",".405",".606","1.012","6.4","1006905"
"1992","Frank Thomas","White Sox","160","573","711","185","113","46","2","24","108","115","122","88","6","3",".323",".439",".536",".975","7.1","255"
"1937","Harlond Clift","Browns","155","571","679","175","103","36","7","29","103","118","98","80","8","5",".306",".413",".546",".960","6.6","1002352"
"2000","Nomar Garciaparra","Red Sox","140","529","599","197","122","51","3","21","104","96","61","50","5","2",".372",".434",".599","1.033","7.6","190"
"2010","Miguel Cabrera","Tigers","150","548","648","180","96","45","1","38","111","126","89","95","3","3",".328",".420",".622","1.042","6.1","1744"
"1938","Bob Johnson","Athletics","152","563","652","176","110","27","9","30","114","113","87","73","9","8",".313",".406",".552",".959","4.7","1006428"
"2007","Carlos Pena","Devil Rays","148","490","612","138","62","29","1","46","99","121","103","142","1","0",".282",".411",".627","1.037","5.9","934"
"1985","George Brett","Royals","155","550","665","184","111","38","5","30","108","112","103","49","9","1",".335",".436",".585","1.022","8.3","1001400"
"2000","Alex Rodriguez","Mariners","148","554","672","175","98","34","2","41","134","132","100","121","15","4",".316",".420",".606","1.026","9.5","1274"
"1941","Roy Cullenbine","Browns","149","501","629","159","112","29","9","9","82","98","121","43","6","4",".317",".452",".465",".917","4.9","1002861"
"1938","Joe DiMaggio","Yankees","145","599","660","194","117","32","13","32","129","140","59","21","6","1",".324",".386",".581",".967","5.9","1003311"
"2017","Aaron Judge","Yankees","155","542","678","154","75","24","3","52","128","114","127","208","9","4",".284",".422",".627","1.049","8.3","15640"
"1951","Larry Doby","Indians","134","447","551","132","80","27","5","20","84","69","101","81","4","1",".295",".428",".512",".941","6.3","1003346"
"1993","Ken Griffey Jr.","Mariners","156","582","691","180","94","38","3","45","113","109","96","91","17","9",".309",".408",".617","1.025","8.4","327"
"1996","Albert Belle","Indians","158","602","715","187","98","38","3","48","124","148","99","87","11","0",".311",".410",".623","1.033","5.2","1000802"
"1971","Bobby Murcer","Yankees","146","529","624","175","119","25","6","25","94","94","91","60","14","8",".331",".427",".543",".969","6.5","1009338"
"1991","Danny Tartabull","Royals","132","484","557","153","84","35","3","31","78","100","65","121","6","3",".316",".397",".593",".990","4.5","1012829"
"2001","Jim Thome","Indians","156","526","644","153","77","26","1","49","101","124","111","185","0","1",".291",".416",".624","1.040","5.4","409"
"1950","Hoot Evers","Tigers","143","526","610","170","103","35","11","21","100","103","71","40","5","9",".323",".408",".551",".959","4.7","1003875"
"1980","Reggie Jackson","Yankees","143","514","601","154","87","22","4","41","94","111","83","122","1","2",".300",".398",".597",".995","5.0","1006308"
"1938","Buddy Myer","Senators","127","437","534","147","111","22","8","6","79","71","93","32","9","5",".336",".454",".465",".918","5.2","1009415"
"1944","Bobby Doerr","Red Sox","125","468","536","152","97","30","10","15","95","81","58","31","5","2",".325",".399",".528",".927","5.9","1003355"
"1942","Wally Judnich","Browns","132","457","544","143","98","22","6","17","78","82","74","41","3","2",".313",".413",".499",".912","5.4","1006645"
"1997","David Justice","Indians","139","495","582","163","98","31","1","33","84","101","80","79","3","5",".329",".418",".596","1.013","4.2","923"
"1951","Ferris Fain","Athletics","117","425","511","146","107","30","3","6","63","57","80","20","0","3",".344",".451",".471",".921","4.4","1003902"
"1948","Tommy Henrich","Yankees","146","588","673","181","100","42","14","25","138","100","76","42","2","3",".308",".391",".554",".945","5.8","1005664"
"1979","Sixto Lezcano","Brewers","138","473","566","152","92","29","3","28","84","101","77","74","4","3",".321",".414",".573",".987","5.2","1007593"
"1999","Derek Jeter","Yankees","158","627","739","219","149","37","9","24","134","102","91","116","19","8",".349",".438",".552",".989","7.4","826"
"1938","Hal Trosky","Indians","150","554","626","185","117","40","9","19","106","110","67","40","5","1",".334",".407",".542",".948","4.4","1013190"
"1936","Harlond Clift","Browns","152","576","701","174","103","40","11","20","145","73","115","68","12","4",".302",".424",".514",".938","5.3","1002352"
"2018","J.D. Martinez","Red Sox","150","569","649","188","106","37","2","43","111","130","69","146","6","1",".330",".402",".629","1.031","5.9","6184"
"1969","Frank Howard","Senators","161","592","702","175","108","17","2","48","111","111","102","96","1","0",".296",".402",".574",".976","5.6","1006080"
"1988","Wade Boggs","Red Sox","155","584","719","214","158","45","6","5","128","58","125","34","2","3",".366",".476",".490",".965","8.6","1001124"
"1959","Tito Francona","Indians","122","399","443","145","106","17","2","20","68","79","35","42","2","0",".363",".414",".566",".980","4.6","1004293"
"2006","David Ortiz","Red Sox","151","558","686","160","75","29","2","54","115","137","119","117","1","0",".287",".413",".636","1.049","5.3","745"
"1993","Juan Gonzalez","Rangers","140","536","587","166","86","33","1","46","105","118","37","99","4","1",".310",".368",".632","1.000","5.7","1251"
"1975","Fred Lynn","Red Sox","145","528","605","175","100","47","7","21","103","105","62","90","10","5",".331",".401",".566",".967","7.1","1007872"
"1975","John Mayberry","Royals","156","554","683","161","88","38","1","34","95","106","119","73","5","3",".291",".416",".547",".963","7.3","1008289"
"1969","Mike Epstein","Senators","131","403","500","112","63","18","1","30","73","85","85","99","2","5",".278",".414",".551",".965","4.4","1003800"
"1967","Frank Robinson","Orioles","129","479","563","149","89","23","7","30","83","94","71","84","2","3",".311",".403",".576",".979","5.7","1011066"
"1941","Cecil Travis","Senators","152","608","663","218","153","39","19","7","106","101","52","25","2","2",".359",".410",".520",".930","6.3","1013162"
"1950","Al Rosen","Indians","155","554","668","159","95","23","4","37","100","116","100","72","5","7",".287",".405",".543",".948","6.9","1011208"
"1935","Joe Vosmik","Indians","152","620","688","216","139","47","20","10","93","110","59","30","2","1",".348",".408",".537",".946","5.8","1013456"
"1998","Edgar Martinez","Mariners","154","559","676","180","104","46","1","29","86","103","106","97","1","1",".322",".428",".564",".991","5.5","1086"
"1997","Jim Thome","Indians","147","496","627","142","77","25","0","40","104","102","120","146","1","1",".286",".423",".579","1.001","5.1","409"
"1950","Walt Dropo","Red Sox","136","559","609","180","110","28","8","34","101","144","45","75","0","0",".322",".378",".583",".961","3.3","1003510"
"1998","Bernie Williams","Yankees","128","499","578","169","108","30","5","26","101","97","74","81","15","9",".339",".422",".575",".997","4.9","857"
"1978","Jim Rice","Red Sox","163","677","746","213","127","25","15","46","121","139","58","126","7","5",".315",".370",".600",".970","7.7","1010897"
"2001","Alex Rodriguez","Rangers","162","632","732","201","114","34","1","52","133","135","75","131","18","3",".318",".399",".622","1.021","7.8","1274"
"1945","Jeff Heath","Indians","102","370","429","113","75","16","7","15","60","61","56","39","3","1",".305",".398",".508",".906","4.1","1005560"
"1936","George Selkirk","Yankees","137","493","592","152","97","28","9","18","93","107","94","60","13","7",".308",".420",".511",".931","4.6","1011732"
"2002","Alex Rodriguez","Rangers","162","624","725","187","101","27","2","57","125","142","87","122","9","4",".300",".392",".623","1.015","10.0","1274"
"2008","Milton Bradley","Rangers","126","414","510","133","78","32","1","22","78","77","80","112","5","3",".321",".436",".563",".999","4.3","369"
"2000","Edgar Martinez","Mariners","153","556","665","180","112","31","0","37","100","145","96","95","3","0",".324",".423",".579","1.002","5.3","1086"
"1950","Vic Wertz","Tigers","149","559","657","172","104","37","4","27","99","123","91","55","0","1",".308",".408",".533",".941","4.9","1013795"
"1969","Frank Robinson","Orioles","148","539","643","166","110","19","5","32","111","100","88","62","9","3",".308",".415",".540",".955","7.3","1011066"
"1949","Vern Stephens","Red Sox","155","610","711","177","105","31","2","39","113","159","101","73","2","2",".290",".391",".539",".930","7.5","1012501"
"1932","Earl Averill","Indians","153","631","712","198","115","37","14","32","116","124","75","40","5","8",".314",".392",".569",".961","5.0","1000378"
"1954","Minnie Minoso","White Sox","153","568","675","182","116","29","18","19","119","116","77","46","18","11",".320",".411",".535",".946","7.8","1008984"
"1961","Roger Maris","Yankees","161","590","698","159","78","16","4","61","132","142","94","67","0","0",".269",".372",".620",".993","7.1","1008110"
"1961","Rocky Colavito","Tigers","163","583","708","169","92","30","2","45","129","140","113","75","1","2",".290",".402",".580",".982","8.0","1002404"
"2000","Troy Glaus","Angels","159","563","678","160","75","37","1","47","120","102","112","163","14","11",".284",".404",".604","1.008","8.2","15"
"2003","Carlos Delgado","Blue Jays","161","570","705","172","91","38","1","42","117","145","109","137","0","0",".302",".426",".593","1.019","5.3","1297"
"1955","Al Kaline","Tigers","152","588","681","200","141","24","8","27","121","102","82","57","6","8",".340",".421",".546",".967","7.3","1006678"
"1942","Joe Gordon","Yankees","147","538","625","173","122","29","4","18","88","103","79","95","12","6",".322",".409",".491",".900","8.8","1004874"
"1938","Lou Gehrig","Yankees","157","576","689","170","103","32","6","29","115","114","107","75","6","1",".295",".410",".523",".932","4.9","1004598"
"1935","Mickey Cochrane","Tigers","115","411","522","131","90","33","3","5","93","47","96","15","5","5",".319",".452",".450",".902","4.5","1002384"
"1981","Dwight Evans","Red Sox","108","412","504","122","77","19","4","22","84","71","85","85","3","2",".296",".415",".522",".937","6.6","1003865"
"2013","Mike Trout","Angels","157","589","716","190","115","39","9","27","109","97","110","136","33","7",".323",".432",".557",".988","10.2","10155"
"2005","Travis Hafner","Indians","137","486","578","148","73","42","0","33","94","108","79","123","0","0",".305",".408",".595","1.003","5.3","1573"
"1946","Mickey Vernon","Senators","148","587","638","207","140","51","8","8","88","85","49","64","14","10",".353",".403",".508",".910","5.7","1013416"
"1941","Jimmie Foxx","Red Sox","135","487","582","146","92","27","8","19","87","105","93","103","2","5",".300",".412",".505",".917","4.5","1004285"
"1996","Ken Griffey Jr.","Mariners","140","545","638","165","88","26","2","49","125","140","78","104","16","1",".303",".392",".628","1.020","9.7","327"
"1951","Minnie Minoso","- - -","146","530","622","173","115","34","14","10","112","76","72","42","31","10",".326",".422",".500",".922","5.5","1008984"
"1996","Mo Vaughn","Red Sox","161","635","752","207","133","29","1","44","118","143","95","154","2","0",".326",".420",".583","1.003","6.2","899"
"2005","Jason Giambi","Yankees","139","417","545","113","67","14","0","32","74","87","108","109","0","0",".271",".440",".535",".975","4.2","818"
"1998","Jim Thome","Indians","123","440","537","129","63","34","2","30","89","85","89","141","1","0",".293",".413",".584",".997","3.3","409"
"1996","Chuck Knoblauch","Twins","153","578","701","197","135","35","14","13","140","72","98","74","45","14",".341",".448",".517",".965","8.1","609"
"1931","Earl Webb","Red Sox","151","589","660","196","112","67","3","14","96","103","70","51","2","2",".333",".404",".528",".932","4.9","1013708"
"1931","Jimmie Foxx","Athletics","139","515","593","150","78","32","10","30","93","120","73","84","4","3",".291",".380",".567",".947","5.1","1004285"
"2010","Jose Bautista","Blue Jays","161","569","683","148","56","35","3","54","109","124","100","116","9","2",".260",".378",".617",".995","6.5","1887"
"1967","Harmon Killebrew","Twins","163","547","689","147","78","24","1","44","105","113","131","111","1","0",".269",".408",".558",".965","7.0","1006905"
"1934","Al Simmons","White Sox","138","558","613","192","131","36","7","18","102","104","53","58","3","2",".344",".403",".530",".933","4.7","1011978"
